,point_A,point_B,haversine_dist,driving-car_dist,driving-car_time,foot-walking_dist,foot-walking_time,cycling-regular_dist,cycling-regular_time
11190,"[-0.4083012026187928, 39.440182527205785]","[-0.3351722445282643, 39.42987197235824]",6.38416708946387,7253.0,627.1,9066.1,6527.5,9530.4,2000.0
11191,"[-0.3686259864662998, 39.47628766605812]","[-0.3514921468512298, 39.46971530993591]",1.6422388637357088,2765.8,280.3,2046.3,1473.3,2462.2,496.6
11192,"[-0.3971142744581978, 39.467855051227886]","[-0.3328245070309807, 39.43372754807908]",6.698588229953101,,,10739.1,7732.0,11954.2,2580.3
11193,"[-0.3387084197299611, 39.45192411062281]","[-0.3317723541509359, 39.46413035861827]",1.4821553745853713,2937.3,404.7,2259.4,1626.8,2539.1,507.8
11194,"[-0.325574071725046, 39.457074978115024]","[-0.387527893012472, 39.484636652433935]",6.137807628925523,7715.3,827.4,7575.2,5454.1,7136.3,1506.0
11195,"[-0.3532525485136705, 39.47359144024518]","[-0.3782288179640539, 39.450535481164174]",3.342150880304696,4183.8,545.8,4048.9,2915.2,4625.5,925.1
11196,"[-0.3775089202824285, 39.459476071698205]","[-0.4017720578011488, 39.494615213979365]",4.427604540551338,5319.5,598.5,5019.8,3614.2,5428.1,1085.6
11197,"[-0.3730955329840915, 39.48389246969565]","[-0.3289513442932484, 39.44997597654745]",5.346270744388097,,,6503.7,4682.6,6685.5,1354.3
11198,"[-0.3977530179825264, 39.48500713009397]","[-0.3779096619411689, 39.498060693278525]",2.2374739386742184,2840.3,277.2,2555.5,1839.9,2829.1,565.8
11199,"[-0.35743787322692, 39.461072769907496]","[-0.3343970290542094, 39.44698323691813]",2.5234674699184416,3899.2,488.7,3172.7,2284.3,3390.4,678.1
11200,"[-0.4026725319110437, 39.458346571561904]","[-0.3945732095877018, 39.49259439108253]",3.8711147220575812,5288.4,489.0,4989.1,3592.1,5312.0,1107.6
11201,"[-0.3234527621223781, 39.34935645140445]","[-0.3842730755713855, 39.44222362843881]",11.573559874167106,15885.5,1047.7,16288.6,11727.7,15157.1,3159.2
11202,"[-0.3350796006991677, 39.4017439960774]","[-0.3751273577458713, 39.49188428991116]",10.596623578173773,14453.5,887.4,12900.6,9288.3,13259.5,2799.7
11203,"[-0.3814977186561827, 39.43932814409177]","[-0.4007523092770609, 39.45626199069645]",2.505778377729923,3041.9,289.4,3143.4,2263.2,3111.5,625.0
11204,"[-0.3573325982132975, 39.48657344110323]","[-0.3883521906799032, 39.46939477625832]",3.2767177617247074,5691.5,741.4,4135.1,2977.2,4568.3,933.3
11205,"[-0.3729475200231505, 39.48944596590233]","[-0.3702979572967988, 39.47030821320095]",2.140136509303539,3441.0,464.6,2693.0,1938.9,3269.9,654.0
