,point_A,point_B,haversine_dist,driving-car_dist,driving-car_time,foot-walking_dist,foot-walking_time,cycling-regular_dist,cycling-regular_time
11071,"[24.94844733692596, 60.24428315107295]","[24.994611790028053, 60.24265054081149]",2.554172528649741,3021.9,310.3,2716.5,1955.9,2690.9,582.5
11072,"[24.910294446626043, 60.23418595967279]","[25.09860193985589, 60.21325035798949]",10.65592362218386,13103.4,1299.5,12763.3,9189.4,13718.1,2744.7
11073,"[25.037898659457205, 60.167847525003374]","[25.02872716418391, 60.23772109933162]",7.786097240329807,14629.8,1756.0,9625.3,6930.1,10406.6,2278.5
11074,"[25.05069082479638, 60.21353271419428]","[25.06983233524077, 60.24428109328696]",3.5786759653095843,7830.8,1095.3,4533.1,3263.8,4447.7,917.1
11075,"[24.877652571897965, 60.23351015438823]","[24.88925511966566, 60.20773350317309]",2.9369832622112435,3922.7,612.8,3370.7,2426.9,3560.4,736.4
11076,"[25.03991591109414, 60.262292630024014]","[24.86153586508515, 60.2357927321661]",10.274329053315148,12522.9,1315.2,11891.9,8562.0,11844.1,2385.4
11077,"[25.04657247044147, 60.15028487790504]","[25.016606588377783, 60.270872773659]",13.510561683228293,,,16113.1,11601.2,17164.8,3709.6
11078,"[24.997469188484576, 60.24530579558997]","[24.874245889216706, 60.23875923783561]",6.839563628474929,9136.0,1030.3,7908.0,5693.7,8017.3,1605.0
11079,"[25.068342925342897, 60.25699427885725]","[25.1817060313114, 60.25787278126391]",6.254350845926908,12125.0,1242.3,8381.1,6034.3,10398.2,2274.7
11080,"[25.09214872270308, 60.24462730339186]","[24.94634437801679, 60.21720203732978]",8.607983328077818,11397.9,1127.6,10117.5,7284.5,10451.1,2106.9
11081,"[25.087594362299747, 60.20800281637672]","[24.878249404736646, 60.22865391011532]",11.78796286112505,15251.1,1575.8,14253.0,10261.9,14545.9,2950.3
11082,"[24.904681643572196, 60.1872443810617]","[25.0965559744458, 60.22928451345435]",11.585451233933068,15320.2,1769.8,14196.0,10220.9,14436.5,2924.0
11083,"[24.89149166262548, 60.2489770118592]","[25.21319492822234, 60.26417213559588]",17.827210934555584,20644.5,1486.6,21207.2,15269.0,22146.4,4557.3
11084,"[25.11774122533309, 60.19719384827398]","[25.041466818565304, 60.24354331350106]",6.656280248428109,10116.8,1361.6,9116.5,6563.8,9444.4,1897.1
11085,"[24.925143172598823, 60.208105478632994]","[24.873902130798825, 60.19648017669303]",3.112557928242478,4999.8,806.8,3882.4,2795.3,4170.6,835.4
11086,"[24.930169063433716, 60.19288256068493]","[25.031031809538305, 60.24691656972415]",8.193230193565105,12628.3,1429.1,9588.1,6903.3,9867.6,2062.2
11087,"[24.940261742163564, 60.19774499142633]","[24.929604298916068, 60.16944133504487]",3.201907349523616,4689.0,744.5,3811.2,2744.0,3988.8,816.6
11088,"[24.93871742963264, 60.21051465746501]","[24.99123974557946, 60.24572312160026]",4.872056691123054,7449.2,782.6,5535.5,3985.5,5713.9,1148.9
11089,"[25.02317049095848, 60.25192462060541]","[24.959256507640127, 60.20860798053899]",5.9708626182383355,9324.7,1057.0,6920.9,4982.9,7369.3,1506.5
11090,"[25.060564953804004, 60.21821591527856]","[24.95524332416149, 60.25865943749097]",7.349771818034224,10871.7,1340.1,9490.9,6833.3,9842.3,1997.8
11091,"[25.1503117455088, 60.2046231214973]","[25.06831282969468, 60.26913396518504]",8.481910922863324,13166.6,1410.8,10412.7,7497.0,12277.8,2458.1
11092,"[25.050770118297685, 60.21923807808845]","[25.05629488816363, 60.19609601456158]",2.591319614343025,3549.8,614.9,3461.3,2492.1,3487.1,699.6
