,point_A,point_B,haversine_dist,driving-car_dist,driving-car_time,foot-walking_dist,foot-walking_time,cycling-regular_dist,cycling-regular_time
10828,"[2.174814793943344, 41.4409238652215]","[2.106730085195633, 41.413300960001486]",6.45419726615001,11235.6,1143.3,8668.3,6241.0,9494.7,2089.0
10829,"[2.1434961853957293, 41.41146083660619]","[2.188936938235136, 41.410666315649244]",3.7905314547677422,5614.9,593.3,4718.7,3397.4,5471.9,1125.8
10830,"[2.1910858899560632, 41.44689793751476]","[2.10517189812088, 41.384394538984935]",9.981462616497318,14290.1,1324.3,11201.7,8065.0,12498.5,2595.2
10831,"[2.114435412887593, 41.40102746424732]","[2.0912131871163315, 41.42799534872779]",3.5696195096187853,6542.7,791.6,4472.3,3220.0,5258.0,1073.6
10832,"[2.1817699175813643, 41.36151445576629]","[2.1821895901059043, 41.388502559530025]",3.00114452088123,,,3761.4,2708.2,3909.0,814.2
10833,"[2.166979782322552, 41.43527336024101]","[2.173539245656692, 41.37834194187323]",6.354078319010484,9386.7,1182.5,7715.7,5555.1,9634.1,1959.0
10834,"[2.1660335668938964, 41.45234533323156]","[2.1660211049521343, 41.41224474471341]",4.458982119709996,6243.6,797.7,5838.6,4203.7,7966.4,1743.2
10835,"[2.152632185865117, 41.36558056229348]","[2.1373378381226704, 41.39976267793706]",4.009351276327241,6105.7,786.3,4739.2,3412.2,5791.7,1195.6
10836,"[2.1470482689831427, 41.41017290925897]","[2.212574679253684, 41.42019470252191]",5.576660929748272,7813.8,867.0,6995.0,5036.3,8082.8,1661.7
10837,"[2.142094303562908, 41.38262571237419]","[2.1648313036328566, 41.42164409592637]",4.734994807533474,7688.4,994.1,5981.2,4306.3,6730.4,1390.8
10838,"[2.143726244371777, 41.37078561098916]","[2.169093063043205, 41.43421718960696]",7.363757013228947,9573.5,1152.5,8785.3,6325.2,9496.5,1938.8
10839,"[2.150987201611038, 41.38958089768536]","[2.114145090986613, 41.41230881334365]",3.9786446472525454,6678.1,852.5,4758.4,3426.0,5632.4,1196.7
10840,"[2.175635256128225, 41.43951560141053]","[2.161506851430307, 41.390262708776206]",5.601963381757836,8349.4,893.2,6712.8,4833.1,7381.0,1525.7
10841,"[2.207309990217363, 41.39843632492012]","[2.1528556, 41.36557442768794]",5.830360905120495,7294.1,833.5,6506.8,4684.8,7309.0,1501.3
10842,"[2.188810403008804, 41.38900669918696]","[2.209625115242486, 41.42265686395448]",4.124816815832176,5760.7,677.0,5119.0,3685.6,5738.9,1293.2
10843,"[2.1632161765514595, 41.4366291283616]","[2.154988910196705, 41.436969905032896]",0.6868816023394887,811.8,194.8,818.2,589.1,826.0,184.2
10844,"[2.155867011820713, 41.366090276735264]","[2.1643924183588257, 41.423542383324]",6.427843069315691,10088.6,1249.8,8385.5,6037.4,10070.4,2058.3
10845,"[2.1904929378124858, 41.4468973516487]","[2.1936669413615437, 41.40922914308105]",4.196864678077629,6367.4,585.6,4593.7,3307.4,5046.0,1020.3
10846,"[2.2045287764844472, 41.42084486143207]","[2.189205552621007, 41.42270538188992]",1.2943003042841568,2536.0,271.7,1834.4,1320.8,1798.2,363.7
10847,"[2.1313930202637765, 41.37914728335908]","[2.140802413241075, 41.32409211121448]",6.172032400798671,8571.7,920.7,8357.4,6017.2,8450.8,1736.9
10848,"[2.1546510591148587, 41.43035000206879]","[2.112469420195292, 41.40332598558901]",4.626198141328291,5435.3,630.3,5434.2,3912.5,5778.9,1202.5
10849,"[2.1145158049000687, 41.40376748544414]","[2.193444420701691, 41.4030557135676]",6.5834509573755575,8510.2,1045.2,7761.4,5588.1,8659.7,1772.3
10850,"[2.181558109083093, 41.361496327580646]","[2.1078917209139547, 41.42736856624459]",9.560899889418707,,,12613.4,9081.5,15538.7,3179.0
10851,"[2.1098284238925085, 41.39359308283412]","[2.127020701587309, 41.38176406440223]",1.946065578365186,3038.9,549.5,2397.8,1726.3,2540.5,524.6
10852,"[2.209330357942867, 41.421147256090215]","[2.136134856221444, 41.40347128675217]",6.41261239410623,7952.4,889.7,7797.0,5613.7,8179.2,1691.4
10853,"[2.1303062122322585, 41.38528450007661]","[2.1279815978231063, 41.3312046051275]",6.016539032113925,8538.1,946.7,7616.2,5483.5,8539.6,1716.0
10854,"[2.14509383849857, 41.39074283419778]","[2.189463293322626, 41.45005661386968]",7.562171890626605,9706.8,1069.0,8523.4,6136.7,9346.5,1907.0
10855,"[2.1135957546248867, 41.416995952859295]","[2.1406693132548784, 41.40949498034725]",2.4068461799014487,7555.5,922.6,3802.5,2737.8,4382.9,1013.1
10856,"[2.182675518929051, 41.42680505700881]","[2.1730541957348346, 41.44420159024891]",2.0940943035648583,4013.5,623.3,2552.5,1837.7,3150.6,652.8
10857,"[2.154851847831524, 41.37615226838778]","[2.126718765184101, 41.40607371233111]",4.071539314526548,4969.9,613.3,4593.6,3307.3,5724.6,1172.8
10858,"[2.18712649636608, 41.429718509533096]","[2.147964352096666, 41.37604712214368]",6.803355925089009,8079.6,878.2,7599.6,5471.6,7837.8,1567.5
10859,"[2.141041582119012, 41.40189588642209]","[2.134957124013904, 41.394228849241706]",0.9921614562019686,1952.1,257.8,1287.4,926.9,1460.3,410.4
10860,"[2.133013243231201, 41.39429007413068]","[2.159893165403527, 41.34197398663292]",6.234769264895095,,,,,,
10861,"[2.1976941886701584, 41.41580529888606]","[2.126371839848353, 41.391716523860566]",6.52379187228338,6959.3,797.1,7267.1,5232.2,7228.0,1477.3
10862,"[2.139382347206128, 41.447567522779934]","[2.1595712323038407, 41.43863986356996]",1.9537956395996843,4438.7,463.2,2756.5,1984.7,2756.9,599.4
10863,"[2.1572469986922505, 41.39750664124221]","[2.13922739174779, 41.41095467803876]",2.1200859361156845,2705.9,387.1,2488.8,1791.9,2815.6,585.0
10864,"[2.1563901020428835, 41.399778758905136]","[2.1227387181762083, 41.33018631842724]",8.232155191440038,12307.7,1369.0,11026.1,7938.6,12061.5,2642.8
10865,"[2.205918147596751, 41.42324002847988]","[2.1274033083788098, 41.38553995861721]",7.7752446100271415,8582.5,974.0,8500.8,6120.4,8543.8,1716.7
10866,"[2.155631787185852, 41.37012020913102]","[2.1425214106812978, 41.42078900113584]",5.739265831506537,7484.9,965.2,7084.1,5100.4,7734.3,1563.0
10867,"[2.1365006476506463, 41.33410858668698]","[2.1777505316073893, 41.37620337649208]",5.8106125042334185,8061.1,739.9,8493.3,6115.1,9188.0,1896.3
10868,"[2.176856526729356, 41.37880896858184]","[2.1712888380312467, 41.3980472308611]",2.189041338214902,3877.3,490.4,2760.6,1987.6,3088.8,655.1
10869,"[2.1491936118023154, 41.38197828453703]","[2.174442982912152, 41.427794213966514]",5.512580474306013,6940.2,784.9,6613.2,4761.4,7175.1,1464.8
10870,"[2.095405568304784, 41.42713586069617]","[2.131255342474976, 41.40447798980541]",3.909525660067546,8318.5,1187.1,5972.3,4300.0,7042.0,1443.1
10871,"[2.189987183339825, 41.43922486272413]","[2.149248773074405, 41.40288227322974]",5.279113461151214,9512.7,985.9,6244.7,4496.0,7083.5,1470.9
10872,"[2.2064978743706325, 41.43811288617372]","[2.2114892499768604, 41.41691275920712]",2.393796400173099,3742.3,494.4,2966.9,2136.2,3383.6,686.1
10873,"[2.1507228916613443, 41.42178253826175]","[2.2022494380759787, 41.40883501376795]",4.53152537765339,7296.5,820.3,5496.0,3957.0,5768.3,1158.3
10874,"[2.169366889512348, 41.43053390573735]","[2.155846685699533, 41.4118471772388]",2.3639840025845698,4317.2,610.3,3013.2,2169.5,3556.2,732.9
10875,"[2.196140237867568, 41.44121592593762]","[2.132248339063949, 41.389787110213625]",7.815927812870075,12588.2,1197.5,8867.7,6384.6,10097.4,2041.8
10876,"[2.164761904541624, 41.37181665098526]","[2.132175427650302, 41.4142064120184]",5.441175560360985,7363.1,927.6,6396.2,4605.2,7146.2,1459.6
10877,"[2.168481905880028, 41.37692215507201]","[2.147135968521767, 41.433673488866745]",6.556777904131525,8449.9,953.7,7713.1,5553.3,8184.1,1702.4
10878,"[2.189225247174216, 41.38183281069748]","[2.19927400326685, 41.40939157118856]",3.176964989254318,4821.9,508.1,3987.6,2871.0,4855.5,979.1
10879,"[2.182608552302874, 41.38854406278797]","[2.139958070873894, 41.37493817001328]",3.866677427863741,5285.9,641.1,4346.4,3129.3,4978.3,1018.6
10880,"[2.1896959294943867, 41.40413891346554]","[2.15388418257722, 41.37205070630131]",4.653646114176109,5919.1,622.2,5142.2,3702.3,5567.9,1140.8
10881,"[2.1068397326041195, 41.39019054434435]","[2.1557297397038733, 41.4174005281948]",5.077519064649022,7390.8,809.8,5972.6,4300.2,6472.3,1397.3
10882,"[2.11407816798651, 41.40956357992861]","[2.1485808568448705, 41.40724786004853]",2.8889452318454243,4206.6,557.5,3865.3,2783.0,4203.6,840.7
10883,"[2.169170203926745, 41.37811905941484]","[2.177089760782179, 41.38388805403303]",0.9209197818033155,2105.5,304.0,1147.7,826.3,1673.8,466.5
10884,"[2.1821944853819395, 41.43611458897685]","[2.188555951868826, 41.377382244267565]",6.552253603691815,9028.5,1128.9,7291.8,5250.0,7746.0,1584.5
10885,"[2.160982655103036, 41.39073105586218]","[2.1316613081452256, 41.38386850041121]",2.562389317010768,3832.3,403.1,3029.3,2181.0,3365.8,679.3
10886,"[2.1721144625988007, 41.36993770301149]","[2.149341746747512, 41.398068085815645]",3.6597476072284656,5195.7,735.3,4498.0,3238.5,5145.4,1095.2
10887,"[2.1726113909693225, 41.41238762581632]","[2.160054970950709, 41.42969656698829]",2.1910030873937694,2831.4,326.9,2890.2,2080.9,3065.7,624.8
10888,"[2.18472962742879, 41.45008116557879]","[2.12233793355559, 41.38348329253255]",9.050235664314492,11139.7,1080.5,10282.6,7403.3,11777.9,2367.5
10889,"[2.1654941237948715, 41.37053343285023]","[2.202916653404615, 41.420941396233765]",6.415716020896907,9150.1,960.0,6976.9,5023.2,8307.1,1682.3
10890,"[2.1587728522857303, 41.404506386495214]","[2.145878310664611, 41.34488376530275]",6.716471718128634,9403.3,1087.5,8136.5,5858.2,8815.8,1764.6
10891,"[2.1693903225278266, 41.38678950325298]","[2.1572796894704176, 41.40905281353804]",2.67373543251746,3708.7,537.2,3288.5,2367.7,3759.6,766.3
10892,"[2.180982726352369, 41.40178645034657]","[2.1290797163141035, 41.42947080765764]",5.311201748688057,6656.8,998.3,6180.6,4449.9,7360.7,1472.0
