,mean_haversine_dist,mean_driving-car_dist,mean_driving-car_time,mean_foot-walking_dist,mean_foot-walking_time,mean_cycling-regular_dist,mean_cycling-regular_time,mean_circuity_driving,mean_circuity_cycling,mean_circuity_walking,std_haversine_dist,std_driving-car_dist,std_driving-car_time,std_foot-walking_dist,std_foot-walking_time,std_cycling-regular_dist,std_cycling-regular_time,std_circuity_driving,std_circuity_cycling,std_circuity_walking,min_haversine_dist,min_driving-car_dist,min_driving-car_time,min_foot-walking_dist,min_foot-walking_time,min_cycling-regular_dist,min_cycling-regular_time,min_circuity_driving,min_circuity_cycling,min_circuity_walking,25%_haversine_dist,25%_driving-car_dist,25%_driving-car_time,25%_foot-walking_dist,25%_foot-walking_time,25%_cycling-regular_dist,25%_cycling-regular_time,25%_circuity_driving,25%_circuity_cycling,25%_circuity_walking,50%_haversine_dist,50%_driving-car_dist,50%_driving-car_time,50%_foot-walking_dist,50%_foot-walking_time,50%_cycling-regular_dist,50%_cycling-regular_time,50%_circuity_driving,50%_circuity_cycling,50%_circuity_walking,75%_haversine_dist,75%_driving-car_dist,75%_driving-car_time,75%_foot-walking_dist,75%_foot-walking_time,75%_cycling-regular_dist,75%_cycling-regular_time,75%_circuity_driving,75%_circuity_cycling,75%_circuity_walking,max_haversine_dist,max_driving-car_dist,max_driving-car_time,max_foot-walking_dist,max_foot-walking_time,max_cycling-regular_dist,max_cycling-regular_time,max_circuity_driving,max_circuity_cycling,max_circuity_walking,mean_circuity_driving:0_2,mean_circuity_cycling:0_2,mean_circuity_walking:0_2,mean_circuity_driving:2_8,mean_circuity_cycling:2_8,mean_circuity_walking:2_8,mean_circuity_driving:8_12,mean_circuity_cycling:8_12,mean_circuity_walking:8_12,mean_circuity_driving:12_inf,mean_circuity_cycling:12_inf,mean_circuity_walking:12_inf
Gdansk,7.069725023212748,11408.554154995332,1062.280070546737,8931.664700695093,6451.2537192654845,9827.336570183628,2115.2065515094923,1.6435728308230764,1.4346398951541002,1.2877990674359192,3.6883776435330184,6826.278372664507,415.9154514473632,4543.808101233323,3282.958941509171,4833.633367597549,1036.7227964629915,0.4999561272392641,0.2832024712946491,0.20973725671154017,0.0500197231482909,86.4,14.2,85.9,61.8,72.2,19.2,1.0000404471524913,1.0168618184414187,1.017556285510728,4.285448572692902,6590.2,755.9,5480.424999999999,3951.75,6129.375,1322.5,1.335321204329441,1.2863196237727976,1.1948162135180085,6.775497122956188,10266.849999999999,1067.75,8598.85,6224.299999999999,9576.599999999999,2056.95,1.4988300716274117,1.3733583156244809,1.2461098014816439,9.398599091628677,14369.375,1348.3,11759.550000000001,8496.3,13024.574999999999,2789.7,1.7917917179920209,1.4989509326117176,1.3167126349820295,22.198628045485805,42298.6,2622.6,27520.7,19814.7,27706.9,6052.9,9.017683371189746,7.681768562380798,7.5744386458897965,2.0606452523246195,1.6984609432346536,1.469064997136642,1.6229613018561213,1.4591437044204352,1.2946912232227297,1.5639542972235212,1.365807276939488,1.2471094532887022,1.6918664526851035,1.308124538630225,1.2378160246772578
Hamburg,13.197457210648208,20470.68980397043,1906.174409557826,16714.632062463657,11997.146100174434,17880.11039538167,3837.0151964448874,1.5604052768738756,1.37689131184145,1.2828266034476716,6.644438744811746,11743.781507257916,803.4758567475086,8261.698808379822,5953.868463046681,8937.166374613173,1948.284127166663,0.4577777830363051,0.26579366463855697,0.1863496681294086,0.0226645679314069,34.7,4.9,104.1,74.9,104.1,23.1,1.0068059096483157,1.0024990665689788,1.0024990665689788,8.076465384250499,11581.3,1310.6,10286.575,7380.5,10955.725,2322.125,1.2716122571818242,1.2423675775279783,1.1950239540656031,12.668990659865973,18650.2,1884.3,16161.099999999999,11563.45,17248.65,3678.8,1.427066847915091,1.3072523876235431,1.2386610049869762,17.724012367518316,27237.875,2464.775,22489.075,16143.475,24019.7,5163.6,1.692303584870473,1.4181828835306767,1.3053470688439062,40.092051826018114,85408.7,5971.2,48629.2,35012.6,54966.5,12039.5,9.870617502323599,9.887134654178316,7.9465815591287585,1.9765054401905984,1.5770649893302313,1.418002284480661,1.574585105068699,1.42298723453644,1.3139893854977862,1.5212636796620345,1.3900662008482887,1.295470438259898,1.5547662480950992,1.3445985499221567,1.2594821929239974
Helsinki,7.691540856689553,11255.985562919499,1327.5707290303517,9384.440681328888,6741.544991346195,9866.447735235763,2028.334965595846,1.5300979517871642,1.3009680255124172,1.2333167270838679,3.970041736324004,5457.079307970778,523.8628309026091,4763.818675551808,3426.9418456507437,4994.157617443927,1020.6928429693207,0.3987402243630031,0.15458753190645871,0.12681945718378054,0.0363000777730207,146.0,25.5,79.2,57.0,79.2,33.3,1.0033386788152014,1.0246175437446574,1.0246175437446574,4.644977439229684,7148.7,952.8,5733.0,4120.9,6024.0,1245.0,1.3035984053679976,1.2191867393389635,1.1708218498868799,7.395741687912797,10979.1,1314.1,9052.3,6483.7,9508.8,1957.3,1.4318716282421025,1.2657891160082437,1.2062062929319644,10.330079068493692,14902.1,1685.3,12565.7,9028.7,13198.9,2706.7,1.643770712347522,1.3366243080141615,1.256811143312492,23.765999787724976,37543.6,3191.4,29070.0,20930.0,30506.2,6462.0,9.60806005088437,4.5964132524181425,4.196745659275941,1.9855125596075773,1.4265763692701094,1.3243599420327463,1.5742333339620362,1.3130555269630353,1.2423679831141836,1.4403690526952249,1.2747278823518324,1.2143412547753405,1.3718111843465433,1.2607381132024147,1.2030649879792856
Klaipeda,4.942465038632666,7086.494544162075,632.1827972276524,6284.09226941532,4524.498098453883,6771.248942598187,1404.5027545761507,1.5261847342721275,1.4444098841172606,1.3240099687679125,3.0564351131397727,4188.720218539379,369.44122110835104,3617.6159697458,2604.658048166672,3829.882370114318,779.8685682205812,0.4664432082981059,0.3185718397852004,0.2519933578858145,0.0757236716828122,123.0,14.1,106.2,76.5,106.2,30.3,1.0008286970849407,1.0008286970849407,1.0022749271225213,2.5656601927071083,3934.85,379.4,3462.5,2493.0,3788.5,798.2,1.280388964728795,1.253104884007759,1.187634682263683,4.3143950932779935,6339.4,586.8,5728.3,4124.3,6191.9,1286.8,1.4184090264790656,1.3744963133395482,1.2671277434528425,6.821387131938671,9544.95,821.95,8588.349999999999,6183.55,9200.2,1908.65,1.6162801727310523,1.5437195941822388,1.3733822237426365,18.39731016544496,43526.3,4047.2,20689.8,14896.6,21625.6,4463.5,8.637321618372711,6.649430035317875,5.562293196252828,1.85955596547265,1.660678186298346,1.477098453876132,1.4816614546803075,1.4311019708743387,1.314124820985517,1.3660858061869459,1.2828927448722935,1.212474567775842,1.3244804075017635,1.2463717407939507,1.1791050201862416
Lisbon,4.930125268131983,7723.551440375166,716.5273894595803,6654.139984368021,4790.912801473873,7081.432051138901,1478.730499106744,1.6654396513756453,1.4961382551340159,1.3817833203237635,2.5277152495715773,3897.1449651455396,277.94706957771143,3284.6135474025646,2364.892231637162,3390.629702690253,706.7047520402085,0.5932954098803412,0.32993538739677447,0.23368719496512455,0.0190427495953724,26.7,6.4,26.7,19.2,26.7,5.3,1.0055771605027162,1.0144547778217716,1.0002222975791524,3.0187911832444505,4954.799999999999,521.5,4207.275,3029.2,4560.65,959.3,1.3705449015158715,1.3374363485532974,1.2682470574276454,4.695137954413867,7358.7,702.4,6416.35,4619.7,6810.65,1417.45,1.5173145632513643,1.4225339814008677,1.337041066783614,6.552551914426711,10005.425,895.725,8735.725,6289.625,9199.599999999999,1909.9250000000002,1.7571207377446778,1.552590365387076,1.4261395930745842,15.56504381271376,56069.6,2754.6,20363.2,14661.3,22853.6,4921.5,9.870098644877134,8.881864038940314,8.900145013372764,2.200271846339867,1.809473995238219,1.5366130831396987,1.6125849081667518,1.4657471509211817,1.3677398986359885,1.469318785599344,1.3754699130561043,1.3165541643906005,1.380432155209023,1.3610854047544756,1.3004336278558997
London,18.92463666665998,29654.895357271893,2567.8550804591305,23304.143074469866,16779.647481309577,24406.245321141716,4998.935416956172,1.5041149785315517,1.3080955033678487,1.247072834341201,9.350589368737955,21100.613717356926,1069.2454293790022,11166.566114914904,8039.678029414793,11637.225821868127,2387.7229981144665,0.44664918346933646,0.13624413134296093,0.11689033373695942,0.0569318827187409,60.7,13.2,60.8,43.8,60.8,12.2,1.0002650555883374,1.0002650555883374,1.0002650555883374,11.78077626381835,15941.150000000001,1755.3,14808.875,10663.6,15494.8,3168.1,1.2470352694420606,1.2402257160518166,1.1989070811619928,18.173098029712392,24659.15,2561.55,22541.25,16230.45,23651.8,4847.3,1.3392583488921348,1.2881688870322874,1.2308035716484007,25.301301705823896,35443.525,3402.525,31007.925000000003,22326.175,32570.225,6674.0,1.5428163914395183,1.348636692605186,1.2692989089526319,54.45659467224956,126477.1,5550.6,67287.2,48446.2,69272.9,14386.7,9.73642378956582,7.872449183137138,8.136554660488994,1.795976502230218,1.5441582302528163,1.4337324180078899,1.4713884559974415,1.3746105557803154,1.30735376319703,1.412986595956158,1.3324627758066583,1.2739538831366437,1.5219731159973073,1.2904152868770316,1.2305252490151921
Madrid,9.504746191805257,14825.74271699368,1123.878012415475,12135.060229834091,8737.124531648376,13278.950611536045,2778.0850884972097,1.616398990662853,1.4290469340009606,1.296519293722774,4.782176636915696,7465.001928228691,432.72151459863534,6004.6769723838015,4323.315763979096,6558.638022702517,1375.8304507539744,0.4880696686620321,0.2533925243095261,0.175659605643155,0.0382436546012321,45.4,7.6,45.4,32.7,45.4,17.3,1.0003120451672884,1.003062566542752,1.003062566542752,5.888947656232374,9195.7,825.7,7649.924999999999,5507.825,8403.1,1759.3,1.366725814751398,1.2951453570710663,1.2165977905919785,9.09462205753493,14112.65,1095.3,11593.7,8347.3,12672.5,2644.0,1.514988575702571,1.3789053208872817,1.2611248370391253,12.687054209557632,19526.975,1389.275,16026.9,11539.3,17502.55,3642.375,1.7236147535945558,1.4931400655958609,1.325171409592983,37.736075763587706,66837.8,4523.4,49888.4,35919.3,55483.0,12064.5,9.795093337090275,8.933960108050021,8.209489504242399,2.361060375472882,1.770759679139381,1.4931885988537528,1.6669628482831957,1.470507408716282,1.3244745061611012,1.5608236619788358,1.3935213804822593,1.2737162061398635,1.5177442300714177,1.3701893679747197,1.259709175294795
Malaga,9.660979266720972,16957.476984436642,1392.7847270993193,14694.401031776999,10579.868829930203,15441.91513417436,3517.52898946547,1.79577000841322,1.633066000665591,1.5323140638240806,5.663540722318078,10614.849534155635,762.7476957172681,8960.466276159677,6451.497554774868,9088.268473922291,2157.5938478677904,0.6124369198849342,0.35318087501982864,0.3366042929551612,0.0763913136597566,78.0,8.0,91.9,66.2,78.0,15.6,1.0132650705740094,1.0210584981874826,1.0239136930959067,5.262737264058861,8714.85,802.9,7807.700000000001,5621.5,8443.3,1849.6,1.459864668052364,1.4235293335946384,1.321188366628264,8.772001499413797,14842.9,1223.4,13021.6,9375.5,13882.3,3103.0,1.6711212889540858,1.5485435472785887,1.4551369084899866,13.176994824116807,23422.949999999997,1897.55,20125.6,14490.35,21135.85,4846.95,1.9342417211513259,1.743781835352674,1.64255979852832,30.003011990004072,65421.7,4346.0,49043.5,35311.2,53323.7,12196.3,9.848986291837068,9.204643097210411,9.204643097210411,2.3156970227907,1.911761812564466,1.6766955969881672,1.8123074949410065,1.6628134205626888,1.53906091898543,1.7221781895618997,1.5996908175123854,1.5082611815487927,1.746519816771776,1.574699004077613,1.5187140859117043
Milano,5.978918768365714,8858.143959022602,1105.8893689958943,7395.923434448121,5324.957380316499,8107.417136365448,1725.6224179854107,1.4921848525267742,1.3887085934507795,1.2538982542783434,2.959810229810092,5462.138498355662,462.78280818910866,3604.6840644333333,2595.324506609961,3908.486438118092,827.9194467826227,0.40159532110619467,0.23581838808459007,0.15149315085869908,0.1026815995524665,104.9,21.7,104.9,75.5,104.9,21.4,1.0013074623343918,1.0013074623343918,1.0023071780872845,3.7180386106444683,5335.6,760.9,4667.25,3360.3500000000004,5176.4,1111.2,1.2771062495906977,1.2680060963167203,1.1721421585484144,5.730810592140013,7990.1,1081.6,7083.1,5099.7,7779.3,1652.4,1.3780066994103721,1.337949837514223,1.2185274331621474,7.986600702209726,11079.349999999999,1434.65,9827.25,7075.5,10704.25,2262.35,1.5510579759643401,1.4427888049080793,1.2913782217657501,16.19418105198649,44542.7,3170.4,22425.5,16146.2,27726.6,6426.0,9.980906924124909,8.759502572901335,5.2499856475364215,1.8126577772462278,1.6050228920642722,1.3596612671164159,1.446273838219638,1.387816137320301,1.2538933724123673,1.4461160139097586,1.3215464479972296,1.2197376523141896,1.9768042243620247,1.315436249232117,1.2180659853028077
Minsk,8.706762559706139,12951.832227318047,1079.6539102691925,10340.484997008974,7445.027557328016,11467.117962113658,2496.0615712861413,1.5128125971202364,1.3411633432492511,1.2098655069851918,4.479632307014304,7328.3400480629425,455.68276775873386,5114.560719372999,3682.427679161189,5730.876637409431,1250.5082925363126,0.38412536531410846,0.1617726662002106,0.12819938605188436,0.0951375959050137,142.9,11.7,117.8,84.8,117.8,28.3,1.0031625573347904,1.0097543040315762,1.0007010603617295,5.280740207571002,7702.9,758.9,6446.2,4641.15,7107.25,1549.25,1.2767160379675977,1.2502467568041764,1.1462111635112926,8.29940870590199,11481.7,1062.5,9938.1,7155.4,10958.7,2376.1,1.41644509751897,1.3134126389895817,1.1872446294176922,11.675690786658084,16466.35,1368.8000000000002,13700.8,9864.400000000001,15222.2,3298.9,1.6512247293804299,1.392764272509244,1.2409563853199574,27.74360578963976,50103.2,3556.2,32015.6,23051.0,38145.4,8565.0,9.613725609223028,6.621777969544669,6.616442988905332,2.031460107131282,1.5498376231213749,1.3779344666852056,1.5120391964182793,1.3638493392500848,1.2335321673776447,1.4252893167708554,1.3138216238683524,1.1868128530946567,1.5292415578489025,1.2942188745355527,1.1632030656697159
